,question,label
0,What types of rocks are prominent in the Western range of Lebanon?,rag
1,What is the significance of chrome ore deposits in the region?,rag
2,What is the elevation of the highest peak in the Western Lebanon range?,rag
3,How does the mountain range extend beyond the Orontes river?,rag
4,What is the cultural significance of Mount al-Aqra?,rag
5,What other names are associated with the mountain range near al-Ladhiqiyah?,rag
6,How do the geological features contribute to the region's historical identity?,rag
7,What is the name of the mountain range as it extends towards al-Nahral-Kabir?,rag
8,How do the rock formations in the region reflect its geological history?,rag
9,What historical significance is attached to the Jibal al-Nusayriyah range?,rag
