question,label
Tell me which Roman ruler annexed Transjordan and Hawran?,rag
"Wow, could you tell me more about the historical significance of Hawran under Nabataean rule?",rag
Can you explain how Augustus redistributed the control of Hawran?,rag
Do you have any insights on who was responsible for reducing Petra in 105?,rag
"What was the name of the Roman province established after incorporating Arabia Petraea, and what did it encompass?",rag
"I want to know why Syria was a focal point of Roman power in the Near East, and what were the implications of this?",rag
Can you give me details on the measures the Roman administration took to protect civilized areas along the desert fringe?,rag
"What was the role of Herod in the context of Roman expansion, and how did it impact the region?",rag
"How did the incorporation of Arabia Petraea into the Roman Empire impact the region, and what were some of the key consequences?",rag
"What was the purpose of establishing a chain of posts along the desert fringe, and how did it contribute to Roman power in the region?",rag
