question,label
Tell me about the significant religious structure that existed in Beirut during the late 12th century.,rag
Can you tell me the year St. Francis of Assisi visited the Ayyubid court in Egypt?,rag
"Who did St. Francis of Assisi meet during his visit to the Ayyubid court in Egypt, and what was their significance?",rag
"What was the primary purpose of St. Francis of Assisi's visit to the Ayyubid court in Egypt, and how did it reflect his religious mission?",rag
"What was the outcome of the religious discussion between St. Francis of Assisi and al-Kamil, and how did it impact their respective faiths?",rag
Can you give me details on the historical significance of the Franciscan church in Beirut?,rag
"How did St. Francis of Assisi's visit to Egypt in 1219 reflect his religious mission, and what can be inferred about his interactions with Muslim leaders?",rag
"What can be inferred about the religious relations between Christian and Muslim leaders during St. Francis of Assisi's time, and how did his visit impact these relations?",rag
"Who was the founder of the Franciscan order, and what role did he play in St. Francis of Assisi's visit to the Ayyubid court?",rag
"How did the presence of a large Franciscan church in Beirut reflect the cultural and religious landscape of the region at the time, and what can be inferred about the region's religious dynamics?",rag
