question,label
Tell me more about the role of physicians in the Umayyad court.,rag
Can you explain how physicians from different religious backgrounds contributed to Umayyad medicine?,rag
What significance did the medical treatise translated in 683 CE hold?,rag
"How did the translation of medical texts impact the development of Islamic science, and what were the key findings?",rag
"What was the origin story of many physicians during the Umayyad period, and how did this shape their work?",rag
"Who was involved in translating early medical texts into Arabic during the Umayyad period, and what motivated them?",rag
"What made the first scientific book translated into Arabic particularly notable, and how did it influence subsequent translations?",rag
"How did the Umayyad period influence the preservation of Greek medical knowledge, and what were the key factors at play?",rag
"What languages were involved in the translation of early medical texts into Arabic, and how did this impact the spread of knowledge?",rag
"What was the role of non-Muslim scholars in the Umayyad medical tradition, and how did their contributions shape the field?",rag
