question,label
"Tell me, what year did the pharaoh's death lead to a war avoidance?",rag
"Wow, could you tell me more about the event that took place sixty years after the pharaoh's death, marking a final confrontation between Egypt and Hatti?",rag
I want to know the location of the final showdown between the Great Kingdoms.,rag
What river is associated with the location of the final showdown between the Great Kingdoms?,rag
In which region was the kingdom of Qadesh situated?,rag
What modern site is identified as the location of the ancient kingdom of Qadesh?,rag
What was the geographical position of Qadesh in relation to northern and southern Syria?,rag
What was the outcome of the tensions between Egypt and Hatti in the third quarter of the 14th century BC?,rag
What significant event occurred at Qadesh on the Orontes river?,rag
How did the death of the pharaoh in 1336 BC affect the conflict between Egypt and Hatti?,rag
