question,label
"Tell me about the Roman emperor who renamed Bosra as Nova Trajana Bostra, and what did this change mean for the city?",rag
"Can you give me more information about the Roman legion stationed in Bosra during Roman rule, and what was its role in the region?",rag
"I want to know more about how Bosra developed as an urban center under Roman rule, particularly from the early 2nd century AD onwards.",rag
What were the consequences of Bosra replacing Petra as the hub of a southern network of roads?,rag
What was the significance of Bosra as a military and administrative center under Roman rule?,rag
How did the establishment of Bosra as a major urban center reflect the broader Roman strategy in the region?,rag
What can be inferred about the economic and cultural significance of Bosra during the Roman period?,rag
How did Trajan's renaming of Bosra influence its identity and status in the Roman Empire?,rag
What was the importance of the Third Legion Cyrenaica being stationed in Bosra?,rag
How did Bosra's development under Roman rule contribute to its heritage and historical importance?,rag
