question,label
Tell me about the theoretical role of a rhetorician in ancient times.,rag
Can you give me some examples of how rhetoricians practically demonstrated their skills in ancient society?,rag
"What kinds of topics did rhetoricians typically address in their declamations, and why?",rag
"What was the primary purpose of a rhetorician's lectures in ancient times, and how did they achieve that?",rag
I'd love to know more about Adrianus and his significance in the context of rhetoric - could you tell me more?,rag
"How did the theoretical and practical roles of a rhetorician differ, and what implications did that have?",rag
"How did educated audiences engage with rhetoricians in ancient times, and what kinds of interactions did they have?",rag
What can we learn about the movement of scholars in the ancient world from the example of Adrianus?,rag
"What was the role of a rhetorician in legal contexts during ancient times, and how did they contribute to the legal system?",rag
"How did the practice of rhetoric contribute to the cultural and intellectual life of ancient societies, and what were some of its key benefits?",rag
