question,label
Tell me about the fate of Zenobia after she was captured by Aurelian.,rag
Can you elaborate on how Zenobia was treated during Aurelian's triumphal entry into Rome?,rag
I want to know more about where Zenobia was settled after being taken to Rome and what her life was like there.,rag
What do you think about Zenobia's marital life after her defeat?,rag
How did the fate of Zenobia's children unfold after her defeat?,rag
What significance did Zenobia's being led with golden chains in Aurelian's triumph hold?,rag
How did Zenobia's life change after she was spared and taken to Rome?,rag
I'm curious about what is known about Zenobia's living arrangements near Tibur.,rag
What was the historical impact of Zenobia's defeat and her subsequent life in Rome?,rag
How did Zenobia's story reflect the broader cultural and historical context of her time?,rag
