,question,label
0,What is the capital of Syria?,no_rag
1,What is a traditional Syrian dish?,no_rag
2,Can you tell me about Syrian music?,no_rag
3,What do you know about the Umayyad Mosque?,no_rag
4,How do people in Syria celebrate Eid?,no_rag
5,What is the name of the famous castle in Syria?,no_rag
6,Can you describe a Syrian wedding?,no_rag
7,What is the significance of Damascus in Syrian history?,no_rag
8,What are some popular Syrian desserts?,no_rag
9,Can you tell me about Syrian folklore?,no_rag
10,What is the name of the river that flows through Aleppo?,no_rag
11,How does Syria celebrate New Year?,no_rag
12,What is a famous Syrian landmark?,no_rag
13,Can you explain the Syrian alphabet?,no_rag
14,What is the name of the highest mountain in Syria?,no_rag
15,Can you describe Syrian traditional clothing?,no_rag
16,What is the name of the ancient city near Aleppo?,no_rag
17,How do Syrians typically greet each other?,no_rag
18,What is the name of the famous Syrian poet?,no_rag
19,Can you tell me about Syrian festivals?,no_rag
20,What is the name of the main religion in Syria?,no_rag
21,Can you describe a Syrian marketplace?,no_rag
22,What is the name of the Syrian currency?,no_rag
23,How do Syrians celebrate birthdays?,no_rag
24,Can you tell me about Syrian coffee?,no_rag
25,What is the name of the Syrian flag colors?,no_rag
26,Can you describe Syrian hospitality?,no_rag
27,What is the name of the famous Syrian dessert with pistachios?,no_rag
28,Can you tell me about Syrian dances?,no_rag
29,What is the name of the Syrian New Year?,no_rag
30,Can you describe a Syrian home?,no_rag
31,What is the name of the famous Syrian historical figure?,no_rag
32,Can you tell me about Syrian crafts?,no_rag
33,What is the name of the Syrian national dish?,no_rag
34,Can you describe Syrian architecture?,no_rag
35,What is the name of the Syrian independence day?,no_rag
36,Can you tell me about Syrian traditions?,no_rag
37,What is the name of the Syrian language?,no_rag
38,Can you describe Syrian music instruments?,no_rag
39,What is the name of the Syrian national anthem?,no_rag
40,Can you tell me about Syrian art?,no_rag
41,What is the name of the Syrian famous painter?,no_rag
42,Can you describe Syrian cuisine?,no_rag
43,What is the name of the Syrian traditional game?,no_rag
44,Can you tell me about Syrian customs?,no_rag
45,What is the name of the Syrian famous author?,no_rag
46,Can you describe Syrian landscapes?,no_rag
47,What is the name of the Syrian traditional dance?,no_rag
48,Can you tell me about Syrian holidays?,no_rag
49,What is the name of the Syrian famous singer?,no_rag
