,question,label
0,What is the capital of Syria?,no_rag
1,Tell me about a traditional Syrian dish.,no_rag
2,How do people in Syria celebrate Eid?,no_rag
3,What is the name of the famous mosque in Damascus?,no_rag
4,Can you describe a typical Syrian wedding?,no_rag
5,What is the significance of the Euphrates River in Syria?,no_rag
6,Hello! How are you?,no_rag
7,What do you know about Syrian poetry?,no_rag
8,How does Syria celebrate New Year?,no_rag
9,What is the name of the highest mountain in Syria?,no_rag
10,Tell me something interesting about Syrian music.,no_rag
11,What is the main religion in Syria?,no_rag
12,What do you think about Syrian hospitality?,no_rag
13,Can you tell me about a famous Syrian historical figure?,no_rag
14,What is the name of the largest city in Syria?,no_rag
15,How do Syrians traditionally greet each other?,no_rag
16,What is the name of the ancient city of Palmyra?,no_rag
17,Can you describe the Syrian flag?,no_rag
18,What is the name of the traditional Syrian dance?,no_rag
19,What is the name of the Syrian currency?,no_rag
20,Tell me about Syrian cuisine.,no_rag
21,How do Syrians celebrate Christmas?,no_rag
22,What is the name of the famous market in Aleppo?,no_rag
23,Can you tell me about Syrian festivals?,no_rag
24,What is the name of the Syrian president?,no_rag
25,How do Syrians typically spend their weekends?,no_rag
26,What is the name of the Syrian national dish?,no_rag
27,Can you describe the climate in Syria?,no_rag
28,What is the name of the Syrian national anthem?,no_rag
29,Tell me about Syrian traditions.,no_rag
30,What is the name of the Syrian national animal?,no_rag
31,How do Syrians celebrate birthdays?,no_rag
32,What is the name of the Syrian national flower?,no_rag
33,Can you tell me about Syrian customs?,no_rag
34,What is the name of the Syrian national bird?,no_rag
35,How do Syrians typically dress?,no_rag
36,What is the name of the Syrian national tree?,no_rag
37,Can you describe the Syrian way of life?,no_rag
38,What is the name of the Syrian national sport?,no_rag
39,Tell me about Syrian art.,no_rag
40,What is the name of the Syrian national museum?,no_rag
41,How do Syrians celebrate Ramadan?,no_rag
42,What is the name of the Syrian national holiday?,no_rag
43,Can you tell me about Syrian architecture?,no_rag
44,What is the name of the Syrian national language?,no_rag
45,How do Syrians typically cook their meals?,no_rag
46,What is the name of the Syrian national symbol?,no_rag
47,Can you describe the Syrian education system?,no_rag
48,What is the name of the Syrian national airline?,no_rag
49,Tell me about Syrian history.,no_rag
