,question,label
0,What is Syria's capital city?,no_rag
1,Can you tell me about Syrian cuisine?,no_rag
2,What is the name of Syria's national dish?,no_rag
3,How do people in Syria celebrate weddings?,no_rag
4,What is the significance of Damascus in Syrian history?,no_rag
5,Can you describe a traditional Syrian outfit?,no_rag
6,What are some popular sports in Syria?,no_rag
7,How does Syria celebrate Eid al-Fitr?,no_rag
8,What is the role of hospitality in Syrian culture?,no_rag
9,Can you tell me a famous Syrian proverb?,no_rag
10,What is the name of Syria's highest mountain?,no_rag
11,How do Syrians typically greet each other?,no_rag
12,What is the significance of the Euphrates River to Syria?,no_rag
13,Can you describe a Syrian marketplace?,no_rag
14,What is the name of Syria's national anthem?,no_rag
15,How does Syria celebrate New Year?,no_rag
16,What is the importance of olives in Syrian culture?,no_rag
17,Can you tell me about Syrian music?,no_rag
18,What is the name of Syria's largest city?,no_rag
19,How do Syrians prepare for Ramadan?,no_rag
20,What is the significance of the ancient city of Palmyra?,no_rag
21,Can you describe a traditional Syrian home?,no_rag
22,What is the name of Syria's national flower?,no_rag
23,How do Syrians celebrate birthdays?,no_rag
24,What is the role of tea in Syrian culture?,no_rag
25,Can you tell me about Syrian festivals?,no_rag
26,What is the significance of the Umayyad Mosque?,no_rag
27,How do Syrians express respect to elders?,no_rag
28,What is the name of Syria's national animal?,no_rag
29,Can you describe a Syrian dessert?,no_rag
30,What is the significance of the Aleppo Citadel?,no_rag
31,How do Syrians celebrate Christmas?,no_rag
32,What is the role of bread in Syrian meals?,no_rag
33,Can you tell me about Syrian dances?,no_rag
34,What is the name of Syria's longest river?,no_rag
35,How do Syrians prepare for Eid al-Adha?,no_rag
36,What is the significance of the ancient city of Homs?,no_rag
37,Can you describe a Syrian breakfast?,no_rag
38,What is the name of Syria's national bird?,no_rag
39,How do Syrians express gratitude?,no_rag
40,What is the significance of the city of Latakia?,no_rag
41,Can you tell me about Syrian poetry?,no_rag
42,What is the name of Syria's highest point?,no_rag
43,How do Syrians celebrate spring?,no_rag
44,What is the role of coffee in Syrian culture?,no_rag
45,Can you describe a Syrian lunch?,no_rag
46,What is the significance of the ancient city of Deir ez-Zor?,no_rag
47,How do Syrians prepare for Nowruz?,no_rag
48,What is the name of Syria's national tree?,no_rag
49,Can you tell me about Syrian art?,no_rag
50,What is the significance of the city of Tartous?,no_rag
51,How do Syrians express love and affection?,no_rag
52,What is the name of Syria's national fruit?,no_rag
53,Can you describe a Syrian dinner?,no_rag
54,What is the significance of the ancient city of Quneitra?,no_rag
55,How do Syrians celebrate Mother's Day?,no_rag
56,What is the role of dates in Syrian culture?,no_rag
57,Can you tell me about Syrian folklore?,no_rag
58,What is the name of Syria's national gemstone?,no_rag
59,How do Syrians express congratulations?,no_rag
60,What is the significance of the city of Hama?,no_rag
61,Can you describe a Syrian market?,no_rag
62,What is the name of Syria's national instrument?,no_rag
63,How do Syrians prepare for summer?,no_rag
64,What is the role of pomegranates in Syrian culture?,no_rag
65,Can you tell me about Syrian mythology?,no_rag
66,What is the name of Syria's national dance?,no_rag
67,How do Syrians express sadness?,no_rag
68,What is the significance of the city of Aleppo?,no_rag
69,Can you describe a Syrian garden?,no_rag
70,What is the name of Syria's national song?,no_rag
71,How do Syrians celebrate Father's Day?,no_rag
72,What is the role of grapes in Syrian culture?,no_rag
73,Can you tell me about Syrian theater?,no_rag
74,What is the name of Syria's national symbol?,no_rag
75,How do Syrians express happiness?,no_rag
76,What is the significance of the city of Daraa?,no_rag
77,Can you describe a Syrian park?,no_rag
78,What is the name of Syria's national holiday?,no_rag
79,How do Syrians prepare for winter?,no_rag
80,What is the role of figs in Syrian culture?,no_rag
81,Can you tell me about Syrian cinema?,no_rag
82,What is the name of Syria's national monument?,no_rag
83,How do Syrians express anger?,no_rag
84,What is the significance of the city of Raqqa?,no_rag
85,Can you describe a Syrian beach?,no_rag
86,What is the name of Syria's national language?,no_rag
87,How do Syrians celebrate Halloween?,no_rag
88,What is the role of almonds in Syrian culture?,no_rag
89,Can you tell me about Syrian literature?,no_rag
90,What is the name of Syria's national mountain range?,no_rag
91,How do Syrians express surprise?,no_rag
92,What is the significance of the city of Hasakah?,no_rag
93,Can you describe a Syrian forest?,no_rag
94,What is the name of Syria's national lake?,no_rag
95,How do Syrians prepare for autumn?,no_rag
96,What is the role of pistachios in Syrian culture?,no_rag
97,Can you tell me about Syrian traditions?,no_rag
98,What is the name of Syria's national river?,no_rag
99,How do Syrians express love?,no_rag
