,question,label
0,What’s your favorite Syrian dessert?,no_rag
1,Can you describe a traditional Syrian meal?,no_rag
2,What’s something interesting about Syrian cuisine?,no_rag
3,How do Syrians celebrate Eid?,no_rag
4,What are some Syrian traditions?,no_rag
5,How do Syrians greet each other?,no_rag
6,Hello!,no_rag
7,How are you?,no_rag
8,How do Syrians express gratitude?,no_rag
9,Can you tell me about Syrian festivals?,no_rag
10,What’s your favorite Syrian holiday?,no_rag
11,What’s something interesting about Syrian geography?,no_rag
12,What’s your favorite Syrian landmark?,no_rag
13,What’s something interesting about Syrian history?,no_rag
14,What’s special about the Umayyad Mosque?,no_rag
15,What’s something unique about Syrian art?,no_rag
16,What’s your favorite Syrian craft?,no_rag
17,How do Syrians enjoy their free time?,no_rag
18,What’s something interesting about Syrian sports?,no_rag
19,Tell me something interesting about Syria.,no_rag
20,What’s unique about Syrian hospitality?,no_rag
21,What’s your favorite Syrian city?,no_rag
22,What’s something interesting about Syrian architecture?,no_rag
23,Can you describe a traditional Syrian home?,no_rag
24,What’s your favorite Syrian tradition?,no_rag
25,How do Syrians celebrate birthdays?,no_rag
26,What’s something interesting about Syrian folklore?,no_rag
27,How do Syrians celebrate spring?,no_rag
28,What’s your favorite Syrian fruit?,no_rag
29,Can you describe a traditional Syrian market?,no_rag
30,What’s something unique about Syrian crafts?,no_rag
31,What’s your favorite Syrian drink?,no_rag
32,What’s something interesting about Syrian poetry?,no_rag
33,Can you tell me about Syrian proverbs?,no_rag
34,What’s your favorite Syrian saying?,no_rag
35,What’s something interesting about Syrian dialects?,no_rag
36,How do Syrians show respect to elders?,no_rag
37,What’s something unique about Syrian clothing?,no_rag
38,What’s your favorite Syrian dish?,no_rag
39,What’s something interesting about Syrian music?,no_rag
40,Can you describe a traditional Syrian wedding?,no_rag
41,What’s your favorite Syrian song?,no_rag
42,What’s something interesting about Syrian dances?,no_rag
43,How do people in Syria celebrate New Year?,no_rag
44,What’s something unique about Syrian customs?,no_rag
45,What’s your favorite Syrian landmark?,no_rag
46,What’s something interesting about Syrian mythology?,no_rag
47,What’s your favorite Syrian legend?,no_rag
48,How do Syrians enjoy their weekends?,no_rag
49,What’s something unique about Syrian traditions?,no_rag
