,question,label
0,What is a traditional Syrian dish?,no_rag
1,Hello! How are you?,no_rag
2,Can you tell me about Syrian music?,no_rag
3,What’s your favorite Syrian food?,no_rag
4,How do people in Syria celebrate holidays?,no_rag
5,Tell me something interesting about Syria.,no_rag
6,What is the capital of Syria?,no_rag
7,Good morning! How are you today?,no_rag
8,What do you think about Syrian architecture?,no_rag
9,Can you describe a traditional Syrian dance?,no_rag
10,What’s something unique about Syrian culture?,no_rag
11,How does Syrian cuisine differ from other Middle Eastern cuisines?,no_rag
12,What’s a popular Syrian dessert?,no_rag
13,Can you recommend a traditional Syrian song?,no_rag
14,What’s the significance of Damascus in Syrian history?,no_rag
15,Tell me about a famous Syrian landmark.,no_rag
16,What is the main language spoken in Syria?,no_rag
17,How do Syrians typically greet each other?,no_rag
18,What’s a common Syrian tradition?,no_rag
19,Can you tell me about a traditional Syrian festival?,no_rag
20,What’s your favorite thing about Syrian culture?,no_rag
21,How does Syrian art reflect its history?,no_rag
22,What’s a popular Syrian drink?,no_rag
23,Can you tell me about Syrian poetry?,no_rag
24,What’s something you find fascinating about Syria?,no_rag
25,How does Syrian cuisine use olives?,no_rag
26,What’s a traditional Syrian instrument?,no_rag
27,Can you describe a Syrian wedding?,no_rag
28,What’s a common Syrian phrase?,no_rag
29,How does Syrian culture influence its food?,no_rag
30,What’s a famous Syrian historical figure?,no_rag
31,Can you tell me about Syrian hospitality?,no_rag
32,What’s a popular Syrian sport?,no_rag
33,How does Syrian culture view family?,no_rag
34,What’s a traditional Syrian craft?,no_rag
35,Can you describe a Syrian market?,no_rag
36,What’s a famous Syrian dish?,no_rag
37,How does Syrian culture celebrate birthdays?,no_rag
38,What’s a traditional Syrian game?,no_rag
39,Can you tell me about Syrian folklore?,no_rag
40,What’s a common Syrian gesture of respect?,no_rag
41,How does Syrian culture view education?,no_rag
42,What’s a traditional Syrian dessert?,no_rag
43,Can you describe a Syrian home?,no_rag
44,What’s a famous Syrian poet?,no_rag
45,How does Syrian culture celebrate New Year?,no_rag
46,What’s a traditional Syrian dance?,no_rag
47,Can you tell me about Syrian customs?,no_rag
48,What’s a popular Syrian holiday?,no_rag
49,How does Syrian culture influence its music?,no_rag
