,question,label
0,What is the capital of Syria?,no_rag
1,What is the name of the famous mosque in Damascus?,no_rag
2,Can you tell me about Syrian cuisine?,no_rag
3,What is the name of the highest mountain in Syria?,no_rag
4,What is the traditional Syrian dance called?,no_rag
5,Hello! How are you?,no_rag
6,What is the name of the Syrian currency?,no_rag
7,Can you describe a traditional Syrian wedding?,no_rag
8,What is the name of the largest city in Syria?,no_rag
9,What is the name of the Syrian dessert made with semolina flour?,no_rag
10,"How do you say ""hello"" in Syrian Arabic?",no_rag
11,What is the name of the famous Syrian poet?,no_rag
12,Can you tell me something interesting about Syrian culture?,no_rag
13,What is the name of the Syrian New Year celebration?,no_rag
14,What is the name of the Syrian dish made with stuffed grape leaves?,no_rag
15,"What is the name of the Syrian city known as the ""Pearl of the Desert""?",no_rag
16,Can you recommend a Syrian song?,no_rag
17,What is the name of the Syrian instrument similar to the lute?,no_rag
18,What is the name of the Syrian dish made with eggplants and tahini?,no_rag
19,Can you tell me about Syrian hospitality?,no_rag
20,What is the name of the Syrian city on the Euphrates River?,no_rag
21,What is the name of the Syrian dessert made with shredded phyllo dough?,no_rag
22,Can you describe the Syrian flag?,no_rag
23,What is the name of the Syrian city known for its ancient ruins?,no_rag
24,Can you tell me about Syrian festivals?,no_rag
25,What is the name of the Syrian dish made with chickpeas and tahini?,no_rag
26,Can you recommend a Syrian book?,no_rag
27,What is the name of the Syrian city known for its olive groves?,no_rag
28,Can you tell me about Syrian traditions?,no_rag
29,What is the name of the Syrian dish made with bulgur and meat?,no_rag
30,Can you describe the Syrian climate?,no_rag
31,What is the name of the Syrian city known for its ancient mosaics?,no_rag
32,Can you tell me about Syrian music?,no_rag
33,What is the name of the Syrian dish made with yogurt and cucumbers?,no_rag
34,Can you recommend a Syrian movie?,no_rag
35,What is the name of the Syrian city known for its citadel?,no_rag
36,Can you tell me about Syrian architecture?,no_rag
37,What is the name of the Syrian dish made with lentils and rice?,no_rag
38,Can you describe the Syrian landscape?,no_rag
39,What is the name of the Syrian city known for its ancient history?,no_rag
40,Can you tell me about Syrian art?,no_rag
41,What is the name of the Syrian dish made with grilled meats?,no_rag
42,Can you recommend a Syrian recipe?,no_rag
43,What is the name of the Syrian city known for its vibrant markets?,no_rag
44,Can you tell me about Syrian customs?,no_rag
45,What is the name of the Syrian dish made with spinach and feta cheese?,no_rag
46,Can you describe the Syrian way of life?,no_rag
47,What is the name of the Syrian city known for its beautiful beaches?,no_rag
48,Can you tell me about Syrian folklore?,no_rag
49,What is the name of the Syrian dish made with semolina pudding?,no_rag
50,Can you recommend a Syrian dessert?,no_rag
51,What is the name of the Syrian city known for its ancient history?,no_rag
52,Can you tell me about Syrian traditions?,no_rag
53,What is the name of the Syrian dish made with stuffed zucchini?,no_rag
54,Can you describe the Syrian way of celebrating holidays?,no_rag
55,What is the name of the Syrian city known for its ancient ruins?,no_rag
56,Can you tell me about Syrian cuisine?,no_rag
57,What is the name of the Syrian dish made with chickpeas and tahini?,no_rag
58,Can you recommend a Syrian song?,no_rag
59,What is the name of the Syrian city known for its vibrant culture?,no_rag
60,Can you tell me about Syrian music?,no_rag
61,What is the name of the Syrian dish made with eggplants and tomatoes?,no_rag
62,Can you describe the Syrian way of life?,no_rag
63,What is the name of the Syrian city known for its beautiful landscapes?,no_rag
64,Can you tell me about Syrian art?,no_rag
65,What is the name of the Syrian dish made with semolina flour?,no_rag
66,Can you recommend a Syrian recipe?,no_rag
67,What is the name of the Syrian city known for its ancient history?,no_rag
68,Can you tell me about Syrian customs?,no_rag
69,What is the name of the Syrian dish made with lentils and rice?,no_rag
70,Can you describe the Syrian climate?,no_rag
71,What is the name of the Syrian city known for its vibrant markets?,no_rag
72,Can you tell me about Syrian folklore?,no_rag
73,What is the name of the Syrian dish made with stuffed grape leaves?,no_rag
74,Can you recommend a Syrian movie?,no_rag
75,What is the name of the Syrian city known for its beautiful beaches?,no_rag
76,Can you tell me about Syrian traditions?,no_rag
77,What is the name of the Syrian dish made with bulgur and meat?,no_rag
78,Can you describe the Syrian way of celebrating holidays?,no_rag
79,What is the name of the Syrian city known for its ancient mosaics?,no_rag
80,Can you tell me about Syrian architecture?,no_rag
81,What is the name of the Syrian dish made with yogurt and cucumbers?,no_rag
82,Can you recommend a Syrian book?,no_rag
83,What is the name of the Syrian city known for its olive groves?,no_rag
84,Can you tell me about Syrian hospitality?,no_rag
85,What is the name of the Syrian dish made with chickpeas and tahini?,no_rag
86,Can you describe the Syrian flag?,no_rag
87,What is the name of the Syrian city known for its ancient ruins?,no_rag
88,Can you tell me about Syrian festivals?,no_rag
89,What is the name of the Syrian dish made with semolina pudding?,no_rag
90,Can you recommend a Syrian song?,no_rag
91,What is the name of the Syrian city known for its vibrant culture?,no_rag
92,Can you tell me about Syrian music?,no_rag
93,What is the name of the Syrian dish made with eggplants and tomatoes?,no_rag
94,Can you describe the Syrian way of life?,no_rag
95,What is the name of the Syrian city known for its beautiful landscapes?,no_rag
96,Can you tell me about Syrian art?,no_rag
97,What is the name of the Syrian dish made with stuffed zucchini?,no_rag
98,Can you recommend a Syrian recipe?,no_rag
99,What is the name of the Syrian city known for its ancient history?,no_rag
