,question,label
0,Good morning? How are you today?,no_rag
1,Marhaba keefak?,no_rag
2,So what exactly are you?,no_rag
3,I need to know about syrian population could you help?,no_rag
4,Latakia I like Latakia can you tell me about it?,no_rag
5,What a wonderful country ! tell me more,no_rag
6,Is it really that Damascus is the oldest city?,no_rag
7,I love Syria,no_rag
8,I love Syrians,no_rag
9,bye bye,no_rag
10,Hello sir,no_rag
11,this is wonderful,no_rag
12,I don't know much about Syria,no_rag
13,I have interest in learning about Homs,no_rag
14,Is it true that Damscus is the oldest city? ,no_rag
15,Tell me any beautiful thing or fact about Syria,no_rag
16,Peace upon you,no_rag
17,I am in love with this country,no_rag
18,have a good day !,no_rag
19,What an ancient city !,no_rag
20,Could you help,no_rag
21,How would you react to the civilization in this place?,no_rag
22,What do you think about Damscus,no_rag
23,What are your thoughts on Ebla,no_rag
24,What are your ideas about syrian culture,no_rag
25,How do you react to syrian culture,no_rag
26,oh I like this place,no_rag
27,Tell me about Aleppo,no_rag
28,Tell me about the food in Homs,no_rag
