,question,label
0,What is the currency used in Syria?,no_rag
1,How do people in Syria typically greet each other?,no_rag
2,What is a popular sport in Syria?,no_rag
3,Can you name a traditional Syrian musical instrument?,no_rag
4,Who is a famous Syrian poet?,no_rag
5,How do Syrians celebrate Nowruz?,no_rag
6,What is a traditional Syrian outfit called?,no_rag
7,What is a popular drink in Syria?,no_rag
8,Can you teach me a common phrase in Syrian Arabic?,no_rag
9,What is a famous natural landmark in Syria?,no_rag
10,Hi!,no_rag
11,Can you describe a traditional Syrian instrument?,no_rag
12,What is a well-known Syrian author?,no_rag
13,How do people in Syria celebrate spring?,no_rag
14,What is the name of a traditional Syrian dance?,no_rag
15,What is a common Syrian proverb?,no_rag
16,Can you recommend a Syrian dessert?,no_rag
17,What is the name of a famous mountain in Syria?,no_rag
18,How do Syrians welcome guests?,no_rag
19,What is a popular Syrian saying about hospitality?,no_rag
